Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
28	-1849374.2	641259.56	-680115.4	-3832517.0	24.466667	-142.94186	0.006289533	-142.80452	-142.94305	116000	0.0	189443440000.0	-0.019094836	-1388544.0	0.004665928	0.0	34.293964862823486
29	-1039205.75	857041.6	804.39453	-2376400.5	353.83334	-148.84396	0.008419358	-148.68523	-148.84485	120000	-7.450581e-09	31839089000.0	-0.022142988	-103021.86	0.0032159097	0.0	35.38302683830261
30	-1537208.2	618574.4	-18.25041	-2120504.2	104.46154	-150.78543	0.006860684	-150.48792	-150.78642	124000	-1.6763806e-08	143700230000.0	-0.023124404	-1052177.1	0.0067561935	0.0	36.83628797531128
31	-1878608.0	573451.94	-763500.0	-3573917.2	24.82353	-155.81937	0.006522555	-155.71179	-155.82059	128000	-8.195639e-08	216301340000.0	-0.009640213	-1895424.0	0.0031877018	0.0	37.940666913986206
32	-1616665.6	544749.6	573.7401	-2276076.8	93.46667	-162.79712	0.0045299954	-162.66444	-162.7979	132000	1.0430813e-07	160252100000.0	-0.012241133	-1449788.2	0.0071502924	0.0	38.98879790306091
33	-2116966.2	1174059.4	-828970.56	-5199721.5	25.0	-168.94006	0.0037519652	-168.88193	-168.94086	136000	2.9802322e-08	229322200000.0	-0.012748793	-1236992.0	0.004305999	0.0	40.15779399871826
34	-1963801.0	1961160.6	452.6945	-5052235.5	412.6	-174.54013	0.0013528506	-174.51424	-174.54033	140000	-3.3527613e-08	117263990000.0	-0.011097122	-182290.72	0.0035382123	0.0	41.3360059261322
35	-1210147.0	706889.56	-698.7945	-2474403.8	189.58333	-176.8795	0.0021746755	-176.8278	-176.87982	144000	1.4901161e-08	88496200000.0	-0.0011621118	-464253.47	0.0022457698	2.0	42.52964806556702
36	-767938.6	1204029.4	635.40247	-2847271.2	515.75	-180.30574	0.0017644381	-180.25368	-180.30594	148000	-1.1175871e-08	23075086000.0	-0.018633375	-22825.723	0.0024102633	0.0	43.756622076034546
37	-1820571.0	550675.9	-881386.06	-3338048.8	26.142857	-181.2954	0.0027039049	-181.23236	-181.29602	152000	9.313226e-08	284624400000.0	-0.015410434	-2998272.0	0.0058933967	0.0	45.04912996292114
38	-1617087.8	1008703.0	-1207.0454	-3087753.2	215.2	-189.65897	0.00085837307	-189.6438	-189.65912	156000	-2.9802322e-08	47448880000.0	-0.0021024942	-117769.1	0.002128047	0.0	46.23657989501953
39	-1952652.6	1361130.5	-272781.16	-5664752.5	30.238094	-191.9008	0.0048626284	-191.74529	-191.90169	160000	-2.0116568e-07	402132430000.0	-0.01961375	-3308544.0	0.0060336627	0.0	47.317484855651855
40	-791229.1	982779.4	543.3623	-2233487.5	609.2	-200.49603	0.00066107605	-200.48204	-200.49611	164000	7.450581e-09	19671010000.0	-0.02607316	-42395.86	0.004297412	0.0	48.98226714134216
41	-1410298.0	1205424.0	15.243344	-3552273.0	194.66667	-202.09816	0.0017548642	-202.0501	-202.09837	168000	9.313226e-09	84440610000.0	-0.032518454	-226543.34	0.00497386	0.0	50.51351284980774
42	-1549526.1	1349306.4	642.55914	-4277348.0	313.42856	-204.33391	0.0013088402	-204.27219	-204.33405	172000	2.0861626e-07	208047010000.0	-0.016536158	-742362.3	0.0031757304	0.0	51.82265114784241
43	-1418518.8	860482.6	-4591.092	-3084002.8	135.88889	-208.60335	0.005226521	-208.45515	-208.60396	176000	-2.2351742e-08	87512120000.0	-0.01385247	-392994.8	0.0038467608	0.0	53.23924970626831
44	-1523304.2	422210.25	-242939.1	-1824911.6	25.0	-211.90279	0.004599949	-211.7719	-211.90334	180000	-3.7252903e-08	85376614000.0	-0.017726235	-487936.0	0.0047742156	0.0	54.55991172790527
45	-1646543.9	792983.94	348.38742	-4103505.5	86.45946	-215.47914	0.0024333023	-215.44527	-215.48	184000	8.940697e-08	508171680000.0	-0.014766857	-9433458.0	0.0069790725	1.0	55.7053120136261
46	-1734592.6	847039.2	-538157.0	-3624738.0	30.75	-229.34645	0.0016418261	-229.31796	-229.34676	188000	-4.8428774e-08	110167440000.0	-0.019241797	-535040.0	0.003806661	0.0	56.88656497001648
47	-1519612.9	606565.8	361.0959	-2153612.2	137.55556	-233.28485	0.0017379586	-233.25345	-233.2851	192000	6.7055225e-08	92343206000.0	-0.019403651	-396901.1	0.006249691	0.0	57.9933660030365
48	-1238990.8	625167.06	254.67207	-1856880.8	111.27273	-236.12718	0.00094209146	-236.0979	-236.12737	196000	1.4901161e-08	57174008000.0	-0.016079593	-200923.2	0.006441025	0.0	59.139270067214966
49	-1216846.2	800146.2	-6845.386	-2063332.8	222.4	-238.2217	0.0005105401	-238.21046	-238.22185	200000	1.1175871e-08	33940023000.0	-0.018138789	-54229.11	0.0024670302	0.0	60.1602418422699
50	-1534220.0	503513.6	-497555.5	-2676800.2	24.6	-239.40701	0.00077397766	-239.38272	-239.40718	204000	7.4505806e-08	115898170000.0	-0.0018425174	-643072.0	0.0034774183	3.0	61.650110960006714
51	-1740867.6	662293.75	-296703.28	-3536826.0	26.736841	-243.06099	0.0037222262	-242.96529	-243.0615	208000	1.4901161e-07	232993950000.0	-0.01372176	-2010112.0	0.0053671086	0.0	62.775227069854736
52	-1485073.4	568219.56	-488344.7	-2392222.2	29.5	-249.59	0.0012927788	-249.55594	-249.59021	212000	9.313226e-09	49820100000.0	-0.0214572	-182272.0	0.006960448	0.0	63.84070181846619
53	-378575.34	639796.56	646.388	-1643793.2	610.0	-251.93602	0.00021814505	-251.92946	-251.93611	216000	-1.1175871e-08	7001000000.0	-0.0194166	-5445.459	0.0013321148	0.0	64.98168587684631
54	-1894452.0	375237.38	-1346410.1	-2812970.5	23.272728	-252.3836	0.0008009774	-252.35587	-252.38376	220000	4.0978193e-08	145669820000.0	-0.0056905746	-703488.0	0.0028638488	0.0	66.03714299201965
55	-1200484.8	2079575.2	892.3614	-4802414.5	756.25	-256.30853	0.00031006747	-256.30164	-256.3086	224000	2.6077032e-08	71411835000.0	-0.021670742	-56732.992	0.002108122	0.0	67.14468693733215
